ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
02,ALASKA,AK,02185,North Slope,02185000300,"Census Tract 3, North Slope Borough, Alaska",3172.198062435178,2842,594,0,9,0,9,33,50,0,9,101852,11255,63,49,132,55,0,9,212,91,0,12,517,798,0,36,0,12,0,9,0,12,0,9,2842,594,1.2,1.7,0.0,0.7,101852.0,11255.0,2.3,1.9,4.6,1.5,0.0,0.3,7.5,3.3,0.0,-999.0,18.2,27.8,0.0,1.3,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,0.012,0.0,0.0,0.0843,0.0963,0.0,0.0361,0.0,0.1386,0.0,0.1747,0.0,0.1506,0.0,0.1506,0.0361,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,-999,1,-999,-999,239,139,8.4,4.3,7849
02,ALASKA,AK,02198,Prince of Wales-Hyder,02198000300,"Census Tract 3, Prince of Wales-Hyder Census Area, Alaska",197.915687129674,15,22,54,33,15,22,0,9,0,9,-999,-999,0,9,15,22,0,9,0,9,0,12,0,31,0,36,0,12,8,12,0,12,0,9,0,9,0.0,60.1,0.0,60.1,-999.0,-999.0,0.0,60.1,100.0,60.1,0.0,60.0,0.0,60.1,0.0,84.7,0.0,207.3,0.0,240.0,0.0,23.5,14.8,24.5,0.0,84.7,0.0,60.1,0.0,60.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,1.0,0.0,0.0,0.0,1.0,0.0422,0.0,0.0,0.0,0.0,0.0,0.9212,0.0,0.0,0.0,0.9212,0.0303,-999.0,-999.0,0,0,-999,0,-999,1,0,0,0,1,0,0,0,0,1,0,0,0,1,-999,0,9,0.0,60.1,20
02,ALASKA,AK,02020,Anchorage,02020002900,"Census Tract 29, Anchorage Municipality, Alaska",543.081872003238,2349,473,1869,75,984,162,78,72,12,18,52215,8595,47,60,104,63,371,234,169,131,10,22,397,674,3,35,186,100,0,9,24,27,9,15,28,23,3.3,3.0,0.7,1.0,52215.0,8595.0,2.9,3.8,4.4,2.9,15.8,9.4,7.2,5.5,1.0,2.3,16.9,28.5,0.1,1.6,10.0,5.4,0.0,1.1,2.4,2.8,0.9,1.5,1.2,0.9,0.0843,0.012,0.0606,0.1265,0.2834,0.0182,0.0301,0.0843,0.1205,0.0181,0.253,0.006,0.1265,0.1627,0.2892,0.0723,0.753,0.0,0.2169,0.0667,0.5,1.5366,0.1576,2.3622,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,225,11.6,9.0,2105
02,ALASKA,AK,02020,Anchorage,02020002823,"Census Tract 28.23, Anchorage Municipality, Alaska",33.09181399888,5384,345,2009,74,1872,101,72,64,104,75,74251,9244,110,59,648,145,1455,193,382,117,36,38,898,482,21,54,0,18,26,32,25,22,37,31,0,13,1.3,1.2,3.6,2.6,74251.0,9244.0,2.9,1.6,12.0,2.7,27.0,3.1,7.1,2.1,1.9,2.0,16.7,8.9,0.4,1.1,0.0,0.9,1.3,1.6,1.3,1.2,2.0,1.7,0.0,0.2,0.0181,0.1566,0.0121,0.1265,0.3133,0.0242,0.5723,0.6928,0.1084,0.0301,1.4036,0.1687,0.1084,0.3855,0.4939,0.2108,0.0,0.3333,0.1145,0.2,0.0,0.6478,0.0182,2.8586,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,131,4.5,2.4,2599
02,ALASKA,AK,02020,Anchorage,02020002813,"Census Tract 28.13, Anchorage Municipality, Alaska",32.85670876904,4711,261,1795,42,1692,81,149,115,126,67,75621,8391,54,44,939,141,1047,180,409,94,69,39,881,381,16,39,0,12,0,9,28,27,15,18,5,5,3.2,2.4,4.9,2.5,75621.0,8391.0,1.6,1.3,19.9,2.9,22.2,3.6,8.7,1.9,4.1,2.3,18.7,8.0,0.4,0.9,0.0,0.7,0.0,1.1,1.7,1.6,0.9,1.0,0.1,0.1,0.0783,0.2952,0.0061,0.0482,0.4278,0.0545,0.9277,0.3675,0.1928,0.1084,1.5964,0.241,0.1627,0.3855,0.5482,0.241,0.0,0.0,0.1627,0.0667,0.0964,0.3258,0.0061,2.8982,0.0122,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,139,83,3.0,1.8,1721
02,ALASKA,AK,02020,Anchorage,02020000203,"Census Tract 2.03, Anchorage Municipality, Alaska",5.696205663322,11793,552,3752,89,3723,101,347,302,240,120,40312,3287,35,41,720,130,3749,369,742,211,254,124,2311,775,18,66,0,21,85,100,32,48,19,25,0,15,2.9,2.5,4.1,2.0,40312.0,3287.0,0.5,0.6,6.1,1.2,31.8,2.8,6.5,1.9,6.8,3.3,19.6,6.5,0.2,0.6,0.0,0.6,2.3,2.7,0.9,1.3,0.5,0.7,0.0,0.1,0.0663,0.2229,0.2303,0.012,0.5315,0.0606,0.0663,0.9217,0.0783,0.3253,1.3916,0.1627,0.2048,0.2289,0.4337,0.1446,0.0,0.4727,0.0783,0.0424,0.0,0.5934,0.0121,2.9502,0.0183,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,226,125,2.0,1.1,5186
02,ALASKA,AK,02020,Anchorage,02020002822,"Census Tract 28.22, Anchorage Municipality, Alaska",4.193612509922,3872,259,1447,62,1386,81,173,104,103,59,65032,8575,138,76,548,87,860,104,344,120,67,46,651,372,29,41,0,12,0,9,7,15,6,10,14,17,4.5,2.6,5.0,2.8,65032.0,8575.0,5.1,2.7,14.2,2.1,22.2,2.2,8.9,3.0,4.8,3.3,16.8,9.6,0.8,1.1,0.0,0.9,0.0,1.4,0.5,1.1,0.4,0.7,0.4,0.4,0.1506,0.3193,0.0242,0.3012,0.7953,0.1091,0.759,0.3675,0.2048,0.1627,1.494,0.1988,0.1205,0.5,0.6205,0.2952,0.0,0.0,0.0301,0.0242,0.2711,0.3254,0.0,3.2352,0.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,161,6.1,4.1,1931
02,ALASKA,AK,02020,Anchorage,02020002821,"Census Tract 28.21, Anchorage Municipality, Alaska",1.390720871104,5041,386,1675,36,1601,74,98,66,98,50,60281,6333,86,59,587,118,1408,273,355,97,143,76,1444,518,5,49,0,18,36,43,12,22,18,22,15,12,2.0,1.3,3.6,1.8,60281.0,6333.0,2.7,1.8,11.6,2.5,27.9,5.0,7.1,1.9,8.9,4.7,28.6,10.0,0.1,1.0,0.0,1.1,2.1,2.5,0.7,1.4,1.1,1.4,0.3,0.2,0.0361,0.1566,0.0424,0.1084,0.3435,0.0303,0.5542,0.753,0.1084,0.5241,1.9397,0.4217,0.4096,0.1627,0.5723,0.2651,0.0,0.4485,0.0663,0.097,0.1867,0.7985,0.0242,3.654,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,142,6.8,2.8,3300
02,ALASKA,AK,02090,Fairbanks North Star,02090000900,"Census Tract 9, Fairbanks North Star Borough, Alaska",25.916796362644,5983,573,2786,159,2337,211,351,231,50,46,44335,6419,201,167,471,153,1728,352,138,95,156,89,1188,787,11,54,13,23,14,21,101,90,31,48,5,8,5.9,3.8,1.6,1.5,44335.0,6419.0,5.1,4.0,7.9,2.5,28.9,5.2,2.3,1.6,6.7,3.8,19.9,13.0,0.2,1.0,0.5,0.9,0.5,0.8,4.3,3.8,1.3,2.1,0.1,0.1,0.253,0.0422,0.1455,0.3012,0.7419,0.097,0.2048,0.8133,0.012,0.3133,1.3434,0.1145,0.2169,0.2289,0.4458,0.1566,0.2771,0.2,0.4337,0.1333,0.0964,1.1405,0.0727,3.6716,0.0366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,317,10.0,5.3,1684
02,ALASKA,AK,02020,Anchorage,02020002812,"Census Tract 28.12, Anchorage Municipality, Alaska",5.71942159048,7910,445,2769,78,2663,108,359,340,82,76,60312,7589,32,36,769,132,2100,269,657,178,75,49,1699,627,118,124,41,29,12,19,17,30,55,32,85,48,4.6,4.2,1.9,1.8,60312.0,7589.0,0.6,0.7,9.7,1.7,26.5,3.1,8.4,2.3,2.8,1.9,21.5,7.8,1.6,1.7,1.5,1.1,0.4,0.7,0.6,1.1,2.1,1.2,1.1,0.6,0.1627,0.0542,0.0364,0.0181,0.2714,0.0121,0.3675,0.6566,0.1566,0.0602,1.2409,0.0843,0.247,0.6747,0.9217,0.4578,0.4096,0.1818,0.0482,0.2121,0.4699,1.3216,0.097,3.7556,0.0427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,239,6.9,3.0,5326
