Domain,Variables,Names,Description,Parse_Eqs,Statistic,MOE,Different than CDC?
Household Composition and Disability,"B01001_020, B01001_021, B01001_022, B01001_023, B01001_024, B01001_025, B01001_044, B01001_045, B01001_046, B01001_047, B01001_048, B01001_049",AGE65,Persons aged 65 and older,(B01001_020E + B01001_021E + B01001_022E + B01001_023E + B01001_024E +B01001_025E + B01001_044E + B01001_045E + B01001_046E + B01001_047E + B01001_048E + B01001_049E),Value,sqrt(B01001_020M^2 + B01001_021M^2 + B01001_022M^2 + B01001_023M^2 + B01001_024M^2 +B01001_025M^2 + B01001_044M^2 + B01001_045M^2 + B01001_046M^2 + B01001_047M^2 + B01001_048M^2 + B01001_049M^2),No
Household Composition and Disability,"B01001_003, B01001_004,  B01001_005, B01001_006, B01001_027, B01001_028, B01001_029, B01001_030",AGE17,Persons aged 17 and younger,(B01001_003E + B01001_004E +  B01001_005E + B01001_006E + B01001_027E + B01001_028E + B01001_029E + B01001_030E),Value,sqrt(B01001_003M^2 + B01001_004M^2 +  B01001_005M^2 + B01001_006M^2 + B01001_027M^2 + B01001_028M^2 + B01001_029M^2 + B01001_030M^2),No
Household Composition and Disability,"C21007_005,  C21007_008,  C21007_012,  C21007_015,  C21007_020,  C21007_023,  C21007_027,  C21007_030",DISABL,Civilian noninstitutionalized population with a disability,(C21007_005E + C21007_008E + C21007_012E + C21007_015E + C21007_020E + C21007_023E + C21007_027E + C21007_030E),Value,sqrt(C21007_005M^2 + C21007_008M^2 + C21007_012M^2 + C21007_015M^2 + C21007_020M^2 + C21007_023M^2 + C21007_027M^2 + C21007_030M^2),Yes
Household Composition and Disability,"B23009_013, B23009_018",SNGPNT,Single parent household with children under 18,(B23009_013E+B23009_018E),Value,sqrt(B23009_013M^2+B23009_018M^2),Yes
Socioeconomic,"C17002_002, C17002_003",POV,Persons below poverty,(C17002_002E+C17002_003E),Value,sqrt(C17002_002M^2+C17002_003M^2),No
Socioeconomic,B23025_005,UNEMP,Civilian unemployment,Single,Value,,No
Socioeconomic,B19301_001,PCI,Per capita income,Single,Value,,No
Socioeconomic,"B15002_003, B15002_004, B15002_005, B15002_006, B15002_007, B15002_008, B15002_009, B15002_010, B15002_020, B15002_021, B15002_022, B15002_023, B15002_024, B15002_025, B15002_026, B15002_027",NOHSDP,Persons with no high school diploma,(B15002_003E+B15002_004E+B15002_005E+B15002_006E+B15002_007E+B15002_008E+B15002_009E+B15002_010E+B15002_020E+B15002_021E+B15002_022E+B15002_023E+B15002_024E+B15002_025E+B15002_026E+B15002_027E),Value,sqrt(B15002_003M^2+B15002_004M^2+B15002_005M^2+B15002_006M^2+B15002_007M^2+B15002_008M^2+B15002_009M^2+B15002_010M^2+B15002_020M^2+B15002_021M^2+B15002_022M^2+B15002_023M^2+B15002_024M^2+B15002_025M^2+B15002_026M^2+B15002_027M^2),No
Population and Housing,B01003_001,TOTPOP,Population estimate,Single,Value,,No
Population and Housing,B25001_001,HU,Number of housing units,Single,Value,,No
